ID,Quality,Difficulty,Class_Name,Date_Taken,textbook,attendence,grade,take_again,credit,Tags,Comment
13337,2.0,4.0,HIST3290,"Mar 27th, 2018",,,,,,['TOUGH GRADER'],She does not like opinions contrary to her own. Dubious is a great way to describe her grading. I wish I hadnt taken her class.
13337,3.0,3.0,20231413,"Feb 23rd, 2013",,,,,,[],Dr. Lewis is the hottest thing about the history department.
13337,5.0,1.0,HIST3132,"Aug 20th, 2012",,,,,,[],She is very conversational and loves what she teaches.
13337,5.0,2.0,HIST4973,"Dec 21st, 2011",,,,,,[],"I had Dr. Lewis for my colloquium and capstone classes. She is sweet but sassy, and so very interesting. You can see that she enjoys what she does. I hold her in the highest regard. Honestly, if her classes can help you for graduation, take one. She made me a better writer, and I came to each class excited and ready to participate."
13337,4.5,2.0,HIST6200,"Mar 7th, 2010",,,,,,[],She was full of energy for this class. Very knowlegable and well orginized. Her papers are very easy to write and she grades fairly. Her exam essay was right to her lectures and reading assignments. She is flexable and understanding of issues that come up at the last minute. Willing to alter syllabus to fit the students she has in front of her
13337,4.5,4.0,HIST4973,"Oct 30th, 2008",,,,,,[],"I've had Dr. Lewis now for a total of three classes, and she is far and away my favorite history professor. Her classes are reading and writing intensive, regardless of level. If you are looking for a blowoff, go elsewhere. You will come out of her class a better history student and a better writer."
13337,5.0,2.0,HISTWS,"Jul 27th, 2005",,,,,,[],"This professor is really great. She's friendly, approachable, and very knowledgeable. She's also very entertaining if you can keep up with her sardonic wit. Here's a hint: make your papers relatable and entertaining to her! Good grader."
13337,3.5,2.0,HISTORY,"Jul 26th, 2005",,,,,,[],"J. Lew is great! Entertaining, knowledgable professor. Not too hard."
13337,1.0,3.0,HIST4973,"May 11th, 2005",,,,,,[],"Horrible teacher. VERY Biased if you do not agree with her views. She Can NOT grade worth a darn. Papers that would get an ""A"" in any other class will get a ""C"" in her class. She is also one of those types that no matter how much you write in an essay, to her, you ALWAYS left something out. AVOID!!!"
13337,3.0,3.0,EUROHIST,"Jul 11th, 2003",,,,,,[],"Smacks her lips. Knows a lot, interesting class, but dubious expectations and grades. Not approachable. Some reading assignments WAY to ambitious - e.g. 1600 pg books - and this is coming from an Engl. major."
13337,2.0,4.0,HIST3,"May 9th, 2003",,,,,,[],"at first, she seems OK but her grading, as someone noted, is 'dubious.' I (and many other people who've had her) had a problem with grading at the end of the semester, went to speak to her, and all she could say was, 'you write like an English major.'"
13337,5.0,2.0,HIST3290,"Dec 18th, 2002",,,,,,[],"Wonderful teacher, knows a lot about her subject. Very fun class."
13337,2.5,2.0,HIST,"Oct 7th, 2002",,,,,,[],She thinks she's teaching high school. I don't like her
13337,2.5,4.0,HIST,"Aug 22nd, 2001",,,,,,[],"a very smart person, but is hard to decipher and grades w/dubious methods."
