ID,Quality,Difficulty,Class_Name,Date_Taken,textbook,attendence,grade,take_again,credit,Tags,Comment
1911778,4.0,2.0,LDR324,"Nov 18th, 2016", Yes, Mandatory,, Yes, Yes,"['GET READY TO READ', 'CARING']","Loved working with Prof. Parker! She is a dedicated to you actually learning and not merely passing with a good grade (although that's her desire, is for learning + good grade). She appreciates quality writing and will correct sloppy writing."
690376,2.5,3.0,CHILDNUTR,"Apr 10th, 2015", Yes,,,, Yes,[],This professor is horrible. She doesnt follow any kind of order. She assigns more than one assignment in the same time period and then forgets and changes the due date.
1911778,5.0,2.0,ENTRP3423,"Apr 25th, 2016", Yes, Mandatory, A-,, Yes,[],If you get the chance to take her..... TAKE HER! She is wonderful!!!
1911778,5.0,1.0,BUSCOM,"Feb 9th, 2015", Yes,,,, Yes,[],Her online classes are fun and easy.
132940,4.5,1.0,COMSC1433,"Jun 6th, 2013", Yes,,,,,[],"This is the easiest programming class on campus. The teacher is friendly and helpful, but watch out! She is a harsh grader and has zero tolerance for shenanigans. If you're there all the time and always do what she shows you, you'll ace this class, no problem, even if you're not into computer programming. But, if you're absent or slack off a lot..."
1921674,5.0,3.0,BIOL3704,"May 28th, 2015", Yes,,,, Yes,[],"Human anatomy is a challenging course in general, but Dr. Falk makes the course interesting with her weird fun facts. She is a really cool, sweet, and chill professor."
466978,5.0,2.0,COMM1313,"Sep 26th, 2022", Yes, Mandatory, A+, Yes, Yes,"['PARTICIPATION MATTERS', 'CLEAR GRADING CRITERIA', 'GIVES GOOD FEEDBACK']","Took this class online, super easy! Professor Strickler is very understanding and will help any time of day."
132940,3.5,3.0,COMSC1033,"Nov 15th, 2010", Yes,,,,,[],"Had to learn mostly from the book, but Dr. Baugher is extremely helpful if you have any questions."
1921674,5.0,3.0,BIOL3704,"May 7th, 2015", No,, A,, Yes,[],"Dr. Falk was an amazing proffesor. I am saddened to see her leave, but am extremely grateful to have had her before she left. She gives study guides for all her tests, and is always willing to answer questions if you have any. Lab was great, she really knew her stuff. Also she has the greatest choice of clothing ever! Very interesting Woman."
466978,5.0,1.0,INTROPUBSP,"Aug 14th, 2022", Yes, Not Mandatory, A, Yes, Yes,"['CLEAR GRADING CRITERIA', 'GIVES GOOD FEEDBACK', 'ACCESSIBLE OUTSIDE CLASS']","He was very easy going. Amazing guy. Just do the work and you'll be fine. Make an A on all speeches you'll will have an A in the class. He is very clear on his expectations, and grading criteria. You don't have to get the book to pass the class. I didn't use mine, and just wrote notes while he lectured. Each to your own on that one."
132940,3.5,2.0,COMSC1433,"Apr 22nd, 2009", Yes,,,,,[],"I had her in VB Programming. She is one of the tougher teachers here, but she is also faily easy. If you don't understand something, TELL HER! She is extremely helpful and is willing to work with anybody. Attendence isn't mandatory, but it is tough to catch back up if you miss. You also get bonus points on your final if you don't miss a day."
1921674,5.0,1.0,BIOL4204,"Jan 6th, 2015", No,,,, Yes,[],For Credit: Yes
466978,5.0,1.0,COMM1313,"Apr 27th, 2022", Yes, Mandatory, B, Yes, Yes,"['AMAZING LECTURES', 'CLEAR GRADING CRITERIA', 'GIVES GOOD FEEDBACK']",Mr. Strickler is incredibly nice and very understanding that Public Speaking is terrifying. He creates a very welcoming class environment and it's pretty easy to get great grades on your speeches. His criteria for grading is very clear. If you do all the assignments it's very easy to get a really good grade.
132940,2.0,2.0,COMSC1033,"Jan 29th, 2009", Yes,,,,,[],"Very rude. Her in class presentations are pointless, as stated before she reads right out of the book but with less detail and at a slow pace. She takes off points for minor mistakes. She suggested i did not know how to use desire to learn when it is a very simple program. I dont not recomend by any means"
