ID,Quality,Difficulty,Class_Name,Date_Taken,textbook,attendence,grade,take_again,credit,Tags,Comment
80900,2.0,4.0,CS2033,"Jan 9th, 2022", Yes, Not Mandatory, A, No, Yes,['LECTURE HEAVY'],Hard to really learn in class with the minimal lack of examples. In-office hours he is great and will work as many examples as you need. The programming assignments were vague and very frustrating because of his auto grader.
80900,2.0,4.0,CS2033,"Jan 8th, 2022", Yes, Mandatory, A, No, Yes,['RESPECTED'],Dr. Hale had too many other things going on to teach this class effectively when I took it. The textbook was helpful. He used a faulty autograder. Had to email him to reclaim points after most homework assignments. At least he extended a lot of deadlines. Often missed appointments with students. I've heard he is better for upper level classes.
1067108,2.0,1.0,MUS2092,"May 16th, 2016", Yes, Mandatory, A+,, Yes,[],"Easiest diction class. If you are sensible, don't bother with this class. One week per language means no retention. Brady is an awesome person and is incredibly kind and caring about his students, but this class is not a good use of your time. Shame on TU for not taking their diction courses more seriously!"
80900,5.0,3.0,CS2033,"Apr 5th, 2017", Yes,, A, Yes, Yes,['CARING'],"Great lecturer, learned a lot. Uses the whiteboard. Light workload. Take notes and study and you'll do fine. Very friendly and open. Also did research for this professor."
1067108,5.0,3.0,VOICE,"May 11th, 2014", No, Mandatory, A,,,[],"Brady McElligott is the best professor I have ever had! He is caring, and even willing to help in your other classes if you need it! He is the most talented professor in the music school, and should be considered a music genius. I wish he taught every class."
1788881,5.0,3.0,FIN3003,"Dec 9th, 2016", Yes, Mandatory, A, Yes, Yes,"[""SKIP CLASS? YOU WON'T PASS."", 'ACCESSIBLE OUTSIDE CLASS']",Awesome teacher! Pleasant dude to chat with. Always glad to help students. The material seems difficult but a quick visit to his office will make it black and white. Attending class is a must!! A laptop for notes is the key to getting an A. His tests are STRAIGHT from lectures so pay attention. He teaches better than the book but it's still needed.
80900,4.5,3.0,CS2033,"Jan 11th, 2015", Yes, Mandatory, A,, Yes,[],"Great professor. Makes class and expectations very clear. If you see him during his office hours, he is extremely helpful. If you talk with him, he's flexible on assignment deadlines, project grades, etc. He just wants you to learn and understand the material."
80900,1.5,1.0,ESMGRAD,"Oct 1st, 2009", No,,,,,[],"Outsourced part of his teaching to some PHD students in what turned into an EXTREMELY disorganized, ill-explained project. We were supposed to complete an assignment on a wiki which was inaccessible almost the entire week we had to complete the assignment. Emails sent to the class were not sent to everyone"
1067108,4.0,2.0,MUS2092,"Oct 1st, 2013", Yes, Mandatory, Not_Sure_Yet,,,[],"Brady is an excellent teacher. In Diction class, he is engaging and very intelligent. The work load is light, but you're still learning the material. When asked questions, he's straightforward and helpful."
1788881,5.0,3.0,3003,"May 12th, 2015", Yes, Mandatory, B-,, Yes,[],Really knows his stuff! Must attend class to do well on exams. He makes lectures interesting and I really enjoyed his class. Exam reviews are helpful and you must put in study effort to receive a B or higher. Very willing to help outside of class. Class project was a little tough but still manged a B overall. Would definitely take again!
80900,3.5,3.0,CS2033,"Mar 23rd, 2006",,,,,,[],"Did a good job of keeping the class interested and awake during the boring sections of the course and slow days. In the (infrequent) homework assignments there were often questions about material not covered in class, but he prepares you well for exams . I never went to him for help so I'm not sure how helpful he is outside the classroom."
1788881,4.0,4.0,3003,"Nov 4th, 2014", Yes,,,, Yes,[],He has good stories to tell during lecture. Assignments and exams are not easy and at the end of the semester you must complete a project that's not easy at all.
1067108,5.0,4.0,MUSC6701,"Nov 7th, 2011", Yes,,,,,[],"Dr. McElligot is the best professor and mentor in them music department at The University of Tulsa. Always having a consistent positive attitude, Brady inspires music students to be the best that they can be."
80900,5.0,2.0,ANY,"Sep 29th, 2005",,,,,,[],"Great professor, great sense of humor. Very willing to help if you have problems. The project in E-comm is a lot of fun."
1788881,4.5,3.0,FIN3003,"Jan 13th, 2014", Yes,,,,,[],"Extremely helpful in and out of class; just attend class and pay attention. The exams come literally from class lectures and examples. If he's working on a problem on the board, it will be on the exam."
1067108,4.5,2.0,MUS150L,"Jul 23rd, 2007", No,,,,,[],"Great instructor, cares about students."
80900,2.0,4.0,CS2033,"Aug 24th, 2005",,,,,,[],I told him that I was nervious about an up coming test. He responded that I shouldn't worry because there will be more tests(2 more total). That I should go ask the TA any questions concerning the material.
1067108,5.0,2.0,MUS250L,"Oct 28th, 2006", No,,,,,[],"Oct 28th, 2006"
80900,2.0,3.0,CS2033,"Nov 3rd, 2004",,,,,,[],"his lecture is boring, just read the text book and the test comes out from it. No the best cs teacher ..."
1067108,5.0,3.0,THEORYLAB,"Jun 28th, 2006",,,,,,[],"Jun 28th, 2006"
80900,2.5,3.0,ESM,"May 2nd, 2004",,,,,,[],At least he tries.
80900,4.5,2.0,CS2033,"Mar 22nd, 2004",,,,,,[],"Stuck closely to the text, Exams were material that was expected, Overall a great prof"
80900,4.0,1.0,ECOM,"Dec 17th, 2003",,,,,,[],"This class was the most boring class I've taken at TU, but I easilly got an A."
80900,4.0,2.0,ECOMM,"Dec 6th, 2003",,,,,,[],"Clear, concise, and a sense of humor. Fair, unbiased and just an overall good person. Doesn't mean you won't have to know your stuff but his test are fair and he will work with you if you need to pull up your grade. Take his classes."
1083371,3.0,1.0,DEANSSEM,"Dec 2nd, 2011", No,,,,,[],"The Dean's Seminar is pretty much a blow off class as long as you show up and turn stuff in when you are supposed to. If you miss class, you have to watch a video and write a paper. I'm amused by the reviews about her 'hotness' because she looks exactly like a female Martin Short. Seriously. Picture Martin Short with long dark hair. Google it."
439875,5.0,3.0,SOC1013,"Apr 18th, 2019", Yes,, A, Yes, Yes,"['PARTICIPATION MATTERS', ""SKIP CLASS? YOU WON'T PASS."", 'TEST HEAVY']","Assigned readings for each class out of the two textbooks, which were phenomenal and always interesting and relevant to the lectures/discussions. She's intimidating, especially at first, but AMAZING. She wants students to really learn the material and how it relates to real life. Get in her good graces by doing the readings beforehand."
1083371,4.5,4.0,THSS3L,"Mar 9th, 2009", Yes,,,,,[],"I had her for my 3L paper class. She was great. And hot. 10 years later, she still looks good."
